1;Магнит У дома;ул. Володарского, 38;260078253;+79821111111
2;Магнит Семейный;ул. Луначарского, 2;127820053;+79821111112
3;Магнит Экстра;ул. 50 лет Октября, 38;160078253;+79821111113
4;Магнит Косметик;ул. Луначарского, 4;267800253;+79821111114
5;Магнит Аптека;ул. Мельникайте, 70 ;367008253;+79821111115
6;Магнит У дома;ул. Луначарского, 2а ;467820053;+79821111116
7;Магнит Семейный;ул. Мельникайте, 72 ;560078253;+79821111117
8;Магнит Экстра;ул. Холодильная, 85;467820053;+79821111118
9;Магнит Косметик;ул. Энергетиков, 44;300678253;+79821111119
10;Магнит Аптека;ул. Киевская, 78;267820053;+79821111120
